team,split_value,matches_played,possession_pct,touches_against,touches_for,touches_opp_box_against,touches_opp_box_for,passes_attempted_against,passes_attempted_for,passes_completed_against,passes_completed_for,open_play_passes_against,open_play_passes_for,passes_forward_against,passes_forward_for,passes_backward_against,passes_backward_for,passes_sideways_against,passes_sideways_for,passes_opp_half_against,passes_opp_half_for,passes_own_half_against,passes_own_half_for,crosses_attempted_against,crosses_attempted_for,crosses_completed_against,crosses_completed_for,long_passes_attempted_against,long_passes_attempted_for,long_passes_completed_against,long_passes_completed_for,through_balls_against,through_balls_for,corners_against,corners_for,chances_created_against,chances_created_for,assists_against,assists_for,shots_against,shots_for,shots_on_target_against,shots_on_target_for,shots_off_target_against,shots_off_target_for,shots_blocked_against,shots_blocked_for,shots_in_box_against,shots_in_box_for,shots_outside_box_against,shots_outside_box_for,shots_on_target_in_box_against,shots_on_target_in_box_for,shots_on_target_outside_box_against,shots_on_target_outside_box_for,goals_against,goals_for,goals_in_box_against,goals_in_box_for,goals_outside_box_against,goals_outside_box_for,goals_from_shots_against,goals_from_shots_for,own_goals_against,own_goals_for,own_goals_in_box_against,own_goals_in_box_for,own_goals_outside_box_against,own_goals_outside_box_for,take_ons_against,take_ons_for,take_ons_won_against,take_ons_won_for,aerials_against,aerials_for,aerials_won_against,aerials_won_for,ground_duels_against,ground_duels_for,ground_duels_won_against,ground_duels_won_for,duels_contested_against,duels_contested_for,duels_won_against,duels_won_for,tackles_against,tackles_for,interceptions_against,interceptions_for,clearances_against,clearances_for,ball_recoveries_against,ball_recoveries_for,blocked_passes_against,blocked_passes_for,fouls_committed_against,fouls_committed_for,fouls_won_against,fouls_won_for,possession_lost_against,possession_lost_for,pass_accuracy_pct_for,cross_accuracy_pct_for,long_pass_accuracy_pct_for,shooting_accuracy_pct_for,conversion_pct_for,take_on_success_pct_for,aerial_success_pct_for,ground_duel_success_pct_for,duel_success_pct_for,pass_accuracy_pct_against,cross_accuracy_pct_against,long_pass_accuracy_pct_against,shooting_accuracy_pct_against,conversion_pct_against,take_on_success_pct_against,aerial_success_pct_against,ground_duel_success_pct_against,duel_success_pct_against,rank_possession_pct,rank_touches_against,rank_touches_for,rank_touches_opp_box_against,rank_touches_opp_box_for,rank_passes_attempted_against,rank_passes_attempted_for,rank_passes_completed_against,rank_passes_completed_for,rank_open_play_passes_against,rank_open_play_passes_for,rank_passes_forward_against,rank_passes_forward_for,rank_passes_backward_against,rank_passes_backward_for,rank_passes_sideways_against,rank_passes_sideways_for,rank_passes_opp_half_against,rank_passes_opp_half_for,rank_passes_own_half_against,rank_passes_own_half_for,rank_crosses_attempted_against,rank_crosses_attempted_for,rank_crosses_completed_against,rank_crosses_completed_for,rank_long_passes_attempted_against,rank_long_passes_attempted_for,rank_long_passes_completed_against,rank_long_passes_completed_for,rank_through_balls_against,rank_through_balls_for,rank_corners_against,rank_corners_for,rank_chances_created_against,rank_chances_created_for,rank_assists_against,rank_assists_for,rank_shots_against,rank_shots_for,rank_shots_on_target_against,rank_shots_on_target_for,rank_shots_off_target_against,rank_shots_off_target_for,rank_shots_blocked_against,rank_shots_blocked_for,rank_shots_in_box_against,rank_shots_in_box_for,rank_shots_outside_box_against,rank_shots_outside_box_for,rank_shots_on_target_in_box_against,rank_shots_on_target_in_box_for,rank_shots_on_target_outside_box_against,rank_shots_on_target_outside_box_for,rank_goals_against,rank_goals_for,rank_goals_in_box_against,rank_goals_in_box_for,rank_goals_outside_box_against,rank_goals_outside_box_for,rank_goals_from_shots_against,rank_goals_from_shots_for,rank_own_goals_against,rank_own_goals_for,rank_own_goals_in_box_against,rank_own_goals_in_box_for,rank_own_goals_outside_box_against,rank_own_goals_outside_box_for,rank_take_ons_against,rank_take_ons_for,rank_take_ons_won_against,rank_take_ons_won_for,rank_aerials_against,rank_aerials_for,rank_aerials_won_against,rank_aerials_won_for,rank_ground_duels_against,rank_ground_duels_for,rank_ground_duels_won_against,rank_ground_duels_won_for,rank_duels_contested_against,rank_duels_contested_for,rank_duels_won_against,rank_duels_won_for,rank_tackles_against,rank_tackles_for,rank_interceptions_against,rank_interceptions_for,rank_clearances_against,rank_clearances_for,rank_ball_recoveries_against,rank_ball_recoveries_for,rank_blocked_passes_against,rank_blocked_passes_for,rank_fouls_committed_against,rank_fouls_committed_for,rank_fouls_won_against,rank_fouls_won_for,rank_possession_lost_against,rank_possession_lost_for,rank_pass_accuracy_pct_for,rank_cross_accuracy_pct_for,rank_long_pass_accuracy_pct_for,rank_shooting_accuracy_pct_for,rank_conversion_pct_for,rank_take_on_success_pct_for,rank_aerial_success_pct_for,rank_ground_duel_success_pct_for,rank_duel_success_pct_for,rank_pass_accuracy_pct_against,rank_cross_accuracy_pct_against,rank_long_pass_accuracy_pct_against,rank_shooting_accuracy_pct_against,rank_conversion_pct_against,rank_take_on_success_pct_against,rank_aerial_success_pct_against,rank_ground_duel_success_pct_against,rank_duel_success_pct_against
Arsenal,+1,5,51.91,729,787,38,34,554,577,437,473,507,527,255,257,115,125,184,195,232,263,205,210,17,7,4,0,79,70,36,32,2,4,6,5,5,9,4,6,14,11,3,6,5,2,6,3,8,9,6,2,3,6,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,14,18,4,7,41,41,19,22,54,56,14,16,95,97,33,38,19,22,7,14,27,34,48,49,9,9,24,14,14,24,160,147,81.98,0.0,45.71,54.55,18.18,38.89,53.66,28.57,39.18,78.88,23.53,45.57,21.43,0.0,28.57,46.34,25.93,34.74,3.0,6.0,4.0,4.0,4.0,6.0,3.0,7.0,3.0,6.0,3.0,6.0,3.0,8.0,5.0,6.0,4.0,7.0,2.0,6.0,5.0,9.0,8.0,6.0,12.0,6.0,5.0,5.0,4.0,6.0,1.0,8.0,5.0,13.0,7.0,13.0,7.0,7.0,9.0,11.0,4.0,6.0,12.0,3.0,8.0,9.0,7.0,8.0,12.0,10.0,2.0,12.0,9.0,13.0,4.0,13.0,2.0,7.0,4.0,13.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,10.0,6.0,11.0,4.0,4.0,4.0,6.0,4.0,7.0,6.0,7.0,5.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,2.0,4.0,7.0,6.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,6.0,5.0,3.0,12.0,7.0,2.0,4.0,12.0,11.0,15.0,14.0,15.0,8.0,8.0,15.0,13.0,16.0,8.0,15.0,13.0
Aston Villa,+1,5,34.46,213,112,5,9,180,62,158,49,169,55,70,35,32,15,78,12,88,12,70,37,3,1,2,0,10,11,8,6,0,2,1,0,2,5,1,3,2,6,0,2,2,2,0,2,2,4,0,2,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,7,11,4,6,3,3,2,1,21,21,5,7,24,24,7,8,7,2,1,6,0,4,13,13,0,4,3,2,2,3,31,26,79.03,0.0,54.55,33.33,16.67,54.55,33.33,33.33,33.33,87.78,66.67,80.0,0.0,0.0,57.14,66.67,23.81,29.17,16.0,18.0,18.0,19.0,14.0,18.0,18.0,15.0,17.0,17.0,18.0,19.0,18.0,19.0,16.0,14.0,19.0,15.0,18.0,16.0,17.0,18.0,15.0,11.0,12.0,19.0,18.0,17.0,18.0,14.0,6.0,17.0,16.0,19.0,12.0,18.0,11.0,19.0,13.0,17.0,11.0,15.0,12.0,19.0,11.0,18.0,13.0,18.0,12.0,17.0,8.0,12.0,9.0,13.0,7.0,13.0,7.0,7.0,4.0,13.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,16.0,9.0,11.0,7.0,19.0,19.0,19.0,19.0,13.0,12.0,16.0,16.0,18.0,18.0,17.0,18.0,9.0,19.0,16.0,9.0,19.0,19.0,15.0,15.0,19.0,14.0,15.0,17.0,17.0,15.0,19.0,18.0,9.0,12.0,2.0,8.0,5.0,4.0,18.0,10.0,18.0,1.0,1.0,1.0,17.0,13.0,3.0,2.0,16.0,16.0
Bournemouth,+1,5,43.54,1390,1072,56,38,1101,768,900,587,1011,681,461,364,256,192,384,212,413,253,487,334,27,16,5,3,132,132,47,59,5,0,14,12,14,18,10,13,21,26,9,7,9,8,3,11,14,18,7,8,7,7,2,0,4,1,3,1,1,0,4,0,1,0,1,0,0,0,40,32,19,15,82,82,38,44,103,99,35,29,185,181,73,73,31,30,14,17,31,55,98,91,15,13,31,27,27,31,266,244,76.43,18.75,44.7,26.92,0.0,46.88,53.66,29.29,40.33,81.74,18.52,35.61,42.86,19.05,47.5,46.34,33.98,39.46,10.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,14.0,1.0,1.0,4.0,2.0,4.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,13.0,1.0,3.0,2.0,7.0,2.0,3.0,1.0,4.0,9.0,1.0,7.0,1.0,7.0,1.0,4.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,9.0,10.0,12.0,13.0,11.0,11.0,14.0,12.0,8.0,9.0,16.0,5.0,4.0,7.0,8.0,9.0,9.0
Brentford,+1,5,43.97,804,631,34,27,612,413,485,318,567,374,275,199,138,80,199,134,200,151,285,167,26,13,3,2,85,69,31,31,1,1,9,3,8,9,5,6,22,16,7,4,5,5,10,7,12,11,10,5,5,3,2,1,3,2,3,2,0,0,3,2,0,0,0,0,0,0,27,17,10,6,47,47,20,27,65,62,22,15,112,109,42,42,23,19,9,10,30,59,53,47,4,9,10,20,20,10,171,139,77.0,15.38,44.93,25.0,12.5,35.29,57.45,24.19,38.53,79.25,11.54,36.47,31.82,13.64,37.04,42.55,33.85,37.5,9.0,5.0,7.0,6.0,5.0,5.0,7.0,5.0,7.0,5.0,7.0,5.0,7.0,5.0,7.0,4.0,7.0,8.0,6.0,4.0,7.0,4.0,4.0,8.0,6.0,5.0,6.0,6.0,5.0,9.0,9.0,3.0,7.0,8.0,7.0,7.0,7.0,3.0,6.0,6.0,6.0,6.0,6.0,2.0,4.0,5.0,4.0,2.0,6.0,4.0,6.0,4.0,3.0,2.0,4.0,1.0,2.0,7.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,7.0,5.0,7.0,3.0,3.0,5.0,2.0,5.0,5.0,5.0,7.0,5.0,4.0,5.0,4.0,4.0,7.0,4.0,5.0,3.0,3.0,5.0,6.0,8.0,5.0,7.0,3.0,3.0,7.0,5.0,6.0,11.0,10.0,9.0,13.0,9.0,13.0,8.0,17.0,15.0,12.0,14.0,15.0,10.0,7.0,14.0,12.0,10.0,11.0
Brighton,+1,5,51.1,223,233,10,14,165,160,123,127,143,144,78,65,37,30,50,65,54,44,69,83,1,5,0,1,28,21,11,12,0,0,2,2,4,7,3,3,7,10,2,3,2,4,3,3,5,6,2,4,2,2,0,1,0,3,0,2,0,1,0,3,0,0,0,0,0,0,8,3,4,1,18,18,8,10,14,15,6,5,32,33,14,15,2,7,2,3,15,10,7,10,2,6,5,6,6,5,54,43,79.38,20.0,57.14,30.0,30.0,33.33,55.56,33.33,45.45,74.55,0.0,39.29,28.57,0.0,50.0,44.44,42.86,43.75,4.0,17.0,15.0,18.0,11.0,19.0,15.0,19.0,14.0,19.0,15.0,17.0,15.0,18.0,14.0,19.0,11.0,19.0,15.0,17.0,13.0,19.0,10.0,18.0,9.0,13.0,16.0,15.0,13.0,14.0,14.0,15.0,11.0,15.0,10.0,15.0,11.0,15.0,10.0,14.0,7.0,15.0,8.0,13.0,8.0,13.0,10.0,15.0,7.0,12.0,8.0,12.0,3.0,13.0,2.0,13.0,2.0,7.0,1.0,13.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,13.0,17.0,11.0,18.0,12.0,12.0,11.0,11.0,18.0,17.0,14.0,18.0,15.0,14.0,12.0,16.0,17.0,15.0,13.0,16.0,10.0,18.0,18.0,18.0,13.0,12.0,11.0,10.0,10.0,11.0,15.0,15.0,7.0,6.0,1.0,10.0,1.0,15.0,10.0,10.0,6.0,19.0,18.0,14.0,11.0,13.0,5.0,10.0,3.0,4.0
Chelsea,+1,5,43.46,1055,811,40,47,859,570,727,458,798,516,359,238,219,127,281,205,346,229,381,229,20,8,3,4,93,92,54,41,2,2,9,6,15,16,12,8,22,18,12,7,5,5,5,6,13,11,9,7,8,4,4,3,3,3,2,2,1,1,3,3,0,0,0,0,0,0,29,31,11,20,37,37,22,15,82,80,25,35,119,117,47,50,23,23,5,11,22,36,54,59,11,14,14,12,12,14,186,169,80.35,50.0,44.57,38.89,16.67,64.52,40.54,43.75,42.74,84.63,15.0,58.06,54.55,13.64,37.93,59.46,30.49,39.5,11.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,6.0,6.0,8.0,1.0,3.0,3.0,1.0,3.0,6.0,6.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,1.0,2.0,6.0,6.0,5.0,6.0,4.0,4.0,4.0,5.0,1.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,6.0,6.0,4.0,8.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,10.0,4.0,5.0,5.0,4.0,3.0,2.0,1.0,5.0,7.0,7.0,5.0,4.0,3.0,5.0,2.0,11.0,7.0,5.0,3.0,17.0,4.0,10.0,4.0,12.0,2.0,1.0,7.0,12.0,3.0,11.0,8.0
Coventry,+1,5,30.39,323,141,12,3,277,77,230,43,259,59,128,49,57,14,92,14,148,13,82,30,14,0,4,0,26,27,12,8,3,0,3,0,6,2,4,2,8,2,0,0,3,2,5,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,4,15,15,6,9,18,18,8,6,33,33,14,15,4,4,1,5,4,22,17,15,1,2,4,3,3,4,60,43,55.84,,29.63,0.0,0.0,50.0,60.0,33.33,45.45,83.03,28.57,46.15,0.0,0.0,62.5,40.0,44.44,42.42,18.0,13.0,16.0,16.0,17.0,13.0,17.0,13.0,18.0,13.0,17.0,13.0,16.0,13.0,17.0,13.0,17.0,11.0,17.0,13.0,18.0,11.0,18.0,6.0,12.0,15.0,14.0,13.0,16.0,2.0,14.0,14.0,16.0,12.0,16.0,13.0,14.0,14.0,17.0,17.0,19.0,10.0,12.0,5.0,17.0,13.0,16.0,12.0,17.0,17.0,18.0,12.0,9.0,13.0,14.0,13.0,14.0,7.0,4.0,13.0,13.0,2.0,1.0,2.0,1.0,1.0,1.0,13.0,13.0,9.0,12.0,13.0,13.0,13.0,12.0,15.0,15.0,12.0,17.0,14.0,14.0,12.0,16.0,16.0,18.0,16.0,13.0,16.0,14.0,14.0,14.0,16.0,18.0,12.0,16.0,16.0,12.0,14.0,15.0,19.0,,18.0,19.0,13.0,7.0,5.0,10.0,6.0,6.0,4.0,7.0,17.0,13.0,1.0,14.0,2.0,6.0
Crystal Palace,+1,5,37.17,235,139,19,2,189,90,162,70,177,81,86,41,39,14,64,35,87,21,75,49,4,2,2,0,16,16,9,8,1,1,1,2,3,1,3,1,5,2,2,1,2,0,1,1,5,1,0,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,10,2,2,2,12,12,3,9,15,14,2,8,27,26,5,17,1,9,2,2,2,13,12,12,3,4,1,2,2,1,43,29,77.78,0.0,50.0,50.0,0.0,100.0,75.0,57.14,65.38,85.71,50.0,56.25,40.0,20.0,20.0,25.0,13.33,18.52,15.0,16.0,17.0,11.0,18.0,15.0,16.0,14.0,16.0,15.0,16.0,16.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,14.0,16.0,17.0,14.0,11.0,12.0,17.0,17.0,16.0,16.0,9.0,9.0,17.0,11.0,16.0,18.0,15.0,18.0,17.0,17.0,14.0,16.0,15.0,17.0,17.0,15.0,13.0,19.0,18.0,15.0,12.0,18.0,12.0,3.0,10.0,14.0,8.0,14.0,7.0,4.0,10.0,13.0,2.0,1.0,2.0,1.0,1.0,1.0,12.0,18.0,18.0,15.0,17.0,17.0,17.0,12.0,17.0,18.0,19.0,13.0,17.0,17.0,19.0,13.0,19.0,12.0,13.0,17.0,17.0,17.0,17.0,17.0,10.0,14.0,19.0,17.0,17.0,19.0,17.0,17.0,10.0,12.0,4.0,3.0,13.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,3.0,17.0,19.0,19.0,19.0
Everton,+1,5,50.56,666,681,17,25,523,533,423,425,483,485,240,240,145,135,138,158,165,199,258,226,8,16,3,4,71,65,25,20,3,1,4,7,7,18,5,10,13,22,3,2,6,9,4,11,9,13,4,9,2,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,20,6,8,3,36,36,19,17,36,33,13,16,72,69,32,33,7,15,13,8,22,31,44,54,3,9,14,5,5,14,136,130,79.74,25.0,30.77,9.09,4.55,50.0,47.22,48.48,47.83,80.88,37.5,35.21,23.08,0.0,40.0,52.78,36.11,44.44,5.0,8.0,6.0,15.0,6.0,8.0,5.0,8.0,5.0,8.0,5.0,8.0,4.0,3.0,3.0,10.0,5.0,9.0,5.0,5.0,4.0,15.0,2.0,8.0,1.0,7.0,7.0,8.0,9.0,2.0,9.0,10.0,3.0,11.0,2.0,7.0,3.0,9.0,3.0,11.0,11.0,4.0,2.0,9.0,1.0,8.0,3.0,9.0,1.0,12.0,8.0,8.0,9.0,13.0,7.0,13.0,7.0,7.0,4.0,13.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,15.0,7.0,13.0,7.0,7.0,6.0,6.0,9.0,10.0,8.0,5.0,8.0,9.0,7.0,6.0,9.0,8.0,3.0,6.0,5.0,9.0,7.0,4.0,10.0,5.0,5.0,13.0,13.0,5.0,7.0,7.0,6.0,3.0,17.0,17.0,12.0,7.0,14.0,3.0,4.0,9.0,3.0,17.0,14.0,13.0,11.0,6.0,5.0,3.0
Fulham,+1,5,49.16,424,410,23,20,336,304,266,249,306,275,147,139,75,72,114,93,120,101,146,148,12,3,1,0,39,41,21,18,3,3,9,3,12,11,5,8,17,12,8,2,5,3,4,7,8,10,9,2,4,2,4,0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,7,10,3,7,15,15,6,9,20,20,7,8,35,35,13,17,5,5,6,7,9,26,29,25,2,6,3,5,5,3,83,69,81.91,0.0,43.9,16.67,0.0,70.0,60.0,40.0,48.57,79.17,8.33,53.85,47.06,17.65,42.86,40.0,35.0,37.14,7.0,12.0,9.0,9.0,9.0,12.0,8.0,12.0,8.0,12.0,8.0,12.0,9.0,12.0,8.0,12.0,8.0,13.0,8.0,10.0,8.0,12.0,13.0,15.0,12.0,12.0,11.0,11.0,10.0,2.0,2.0,3.0,7.0,5.0,5.0,7.0,4.0,6.0,7.0,4.0,11.0,6.0,11.0,9.0,4.0,9.0,6.0,4.0,12.0,7.0,8.0,1.0,9.0,2.0,14.0,4.0,14.0,1.0,4.0,2.0,13.0,2.0,1.0,2.0,1.0,1.0,1.0,16.0,11.0,16.0,4.0,13.0,13.0,13.0,12.0,14.0,14.0,13.0,13.0,13.0,12.0,14.0,13.0,11.0,16.0,9.0,8.0,14.0,12.0,9.0,10.0,13.0,12.0,15.0,13.0,13.0,15.0,12.0,12.0,4.0,12.0,12.0,16.0,13.0,2.0,5.0,6.0,3.0,13.0,16.0,5.0,2.0,5.0,8.0,14.0,7.0,12.0
Hull,+1,5,33.87,572,293,32,5,479,184,393,110,449,156,205,105,104,30,170,49,265,49,128,61,21,7,6,1,49,46,21,15,0,0,7,0,5,3,5,2,9,7,3,3,3,4,3,0,5,4,4,3,2,2,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,14,9,5,2,28,28,19,9,26,27,9,10,54,55,28,19,5,11,4,4,15,29,26,17,4,8,9,6,6,9,113,91,59.78,14.29,32.61,42.86,14.29,22.22,32.14,37.04,34.55,82.05,28.57,42.86,33.33,11.11,35.71,67.86,34.62,51.85,17.0,9.0,12.0,7.0,16.0,9.0,13.0,9.0,15.0,9.0,14.0,9.0,11.0,9.0,14.0,8.0,15.0,5.0,13.0,12.0,14.0,5.0,8.0,2.0,9.0,10.0,9.0,11.0,11.0,14.0,14.0,7.0,16.0,13.0,14.0,7.0,14.0,13.0,12.0,11.0,7.0,10.0,8.0,13.0,17.0,13.0,13.0,9.0,10.0,12.0,8.0,8.0,3.0,10.0,7.0,8.0,7.0,7.0,4.0,10.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,10.0,12.0,9.0,15.0,9.0,9.0,6.0,12.0,11.0,11.0,10.0,11.0,11.0,11.0,8.0,11.0,11.0,11.0,11.0,14.0,10.0,10.0,11.0,12.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,18.0,11.0,16.0,6.0,8.0,18.0,19.0,9.0,17.0,7.0,4.0,12.0,9.0,9.0,15.0,1.0,8.0,1.0
Ipswich,+1,5,43.28,498,380,19,19,364,243,288,178,320,214,164,122,76,44,124,77,145,72,143,106,16,9,2,2,53,45,24,23,2,0,4,3,8,7,5,5,11,9,5,3,3,4,3,2,7,5,4,4,4,2,1,1,3,0,2,0,1,0,3,0,0,0,0,0,0,0,16,12,9,6,27,27,11,16,43,43,16,12,70,70,27,28,13,12,4,6,22,28,22,26,9,8,4,10,10,4,105,97,73.25,22.22,51.11,33.33,0.0,50.0,59.26,27.91,40.0,79.12,12.5,45.28,45.45,27.27,56.25,40.74,37.21,38.57,12.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,12.0,12.0,11.0,10.0,10.0,5.0,11.0,6.0,9.0,10.0,9.0,8.0,6.0,14.0,10.0,7.0,8.0,10.0,7.0,9.0,12.0,11.0,8.0,7.0,10.0,8.0,13.0,11.0,11.0,12.0,9.0,7.0,7.0,8.0,8.0,3.0,2.0,14.0,4.0,14.0,1.0,4.0,2.0,13.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,8.0,6.0,7.0,10.0,10.0,10.0,7.0,8.0,8.0,6.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,11.0,9.0,5.0,11.0,12.0,9.0,4.0,9.0,12.0,8.0,8.0,12.0,11.0,9.0,15.0,5.0,3.0,8.0,13.0,7.0,7.0,16.0,13.0,14.0,13.0,9.0,4.0,1.0,4.0,13.0,4.0,10.0
Leeds,+1,5,38.93,516,329,18,11,403,196,321,134,366,168,154,103,93,40,156,53,155,46,166,88,20,5,1,1,55,39,24,9,1,0,6,2,8,3,5,2,14,6,4,3,6,2,4,1,6,6,8,0,4,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,16,11,6,6,29,29,16,13,34,35,9,15,63,64,25,28,5,15,1,6,19,32,28,18,7,7,10,9,9,10,113,86,68.37,20.0,23.08,50.0,16.67,54.55,44.83,42.86,43.75,79.65,5.0,43.64,28.57,7.14,37.5,55.17,26.47,39.68,14.0,10.0,11.0,13.0,12.0,10.0,12.0,10.0,13.0,10.0,12.0,11.0,12.0,10.0,12.0,9.0,14.0,10.0,14.0,9.0,11.0,6.0,10.0,15.0,9.0,8.0,12.0,9.0,14.0,9.0,14.0,8.0,11.0,8.0,14.0,7.0,14.0,7.0,13.0,10.0,7.0,4.0,12.0,9.0,15.0,12.0,10.0,6.0,17.0,7.0,6.0,12.0,9.0,10.0,7.0,8.0,7.0,7.0,4.0,10.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,7.0,10.0,10.0,10.0,9.0,11.0,8.0,16.0,9.0,9.0,8.0,10.0,11.0,7.0,11.0,7.0,9.0,9.0,7.0,9.0,11.0,17.0,6.0,19.0,3.0,5.0,4.0,15.0,5.0,9.0,11.0,17.0,11.0,11.0,10.0,13.0,5.0,14.0,7.0
Liverpool,+1,5,49.62,263,259,11,6,201,173,156,137,186,157,103,78,40,39,58,56,81,79,75,58,12,1,2,0,27,30,12,15,0,3,1,2,3,4,1,3,4,4,1,2,2,0,1,2,1,3,3,1,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,7,7,1,2,13,13,4,9,17,18,4,9,30,31,8,18,5,8,1,2,10,24,13,13,2,3,4,6,6,4,61,57,79.19,0.0,50.0,50.0,25.0,28.57,69.23,50.0,58.06,77.61,16.67,44.44,25.0,0.0,14.29,30.77,23.53,26.67,6.0,14.0,14.0,17.0,15.0,14.0,14.0,16.0,12.0,14.0,13.0,14.0,14.0,16.0,13.0,17.0,13.0,18.0,11.0,14.0,15.0,12.0,15.0,11.0,12.0,14.0,13.0,13.0,11.0,14.0,2.0,17.0,11.0,16.0,13.0,18.0,11.0,18.0,16.0,16.0,11.0,15.0,17.0,17.0,11.0,19.0,15.0,12.0,15.0,16.0,8.0,12.0,9.0,13.0,7.0,13.0,7.0,7.0,4.0,13.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,16.0,14.0,19.0,15.0,16.0,16.0,16.0,12.0,16.0,15.0,17.0,12.0,16.0,16.0,16.0,12.0,11.0,14.0,16.0,17.0,13.0,13.0,15.0,15.0,13.0,16.0,12.0,10.0,10.0,12.0,13.0,13.0,8.0,12.0,4.0,3.0,2.0,16.0,2.0,2.0,2.0,17.0,10.0,10.0,13.0,13.0,19.0,18.0,17.0,17.0
Man City,+1,5,60.56,1034,1588,38,61,743,1264,558,1103,669,1172,368,472,145,311,230,481,268,645,290,458,28,20,7,4,122,111,48,50,3,3,9,11,19,25,13,19,29,32,10,8,13,13,6,11,19,24,10,8,8,6,2,2,2,4,2,3,0,1,2,4,0,0,0,0,0,0,31,53,19,27,55,55,28,27,109,113,49,36,164,168,77,63,42,21,23,14,41,64,77,74,8,11,29,22,22,29,240,232,87.26,20.0,45.05,25.0,12.5,50.94,49.09,31.86,37.5,75.1,25.0,39.34,34.48,6.9,61.29,50.91,44.95,46.95,1.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,7.0,1.0,4.0,1.0,7.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,8.0,13.0,9.0,6.0,13.0,13.0,16.0,18.0,7.0,13.0,8.0,11.0,2.0,7.0,1.0,2.0
